Time(s),Conc(kg/m3)
0,0.00
46,0.35
7246,0.29
14446,0.25
21646,0.22
28846,0.20
36046,0.18
43246,0.17
50446,0.15
57646,0.14
64846,0.13
72046,0.13
79246,0.12
86446,0.12
172846,0.10
259246,0.09
259292,0.44
266492,0.37
273692,0.32
280892,0.29
288092,0.26
295292,0.23
302492,0.21
309692,0.20
316892,0.18
324092,0.17
331292,0.16
334892,0.16
338492,0.15
342092,0.15
345692,0.15
432092,0.12
518492,0.12
518538,0.47
525738,0.37
532938,0.32
540138,0.29
547338,0.26
554538,0.23
561738,0.21
568938,0.20
576138,0.18
583338,0.17
590538,0.16
597738,0.15
604938,0.15
691338,0.12
777738,0.12
777784,0.47
784984,0.37
792184,0.32
799384,0.29
806584,0.26
813784,0.23
820984,0.21
828184,0.20
835384,0.18
842584,0.17
849784,0.16
856984,0.15
864184,0.15
950584,0.12
1036984,0.12
1123384,0.12

